Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,error_C,sq_error_C,error_A,sq_error_A
5.1,3.5,1.4,0.2,setosa,0.09999999999999964,0.009999999999999929,-0.7433333333333341,0.5525444444444455
4.9,3,1.4,0.2,setosa,-0.09999999999999964,0.009999999999999929,-0.9433333333333334,0.8898777777777778
4.7,3.2,1.3,0.2,setosa,-0.2999999999999998,0.0899999999999999,-1.1433333333333335,1.3072111111111115
4.6,3.1,1.5,0.2,setosa,-0.40000000000000036,0.16000000000000028,-1.243333333333334,1.5458777777777797
5,3.6,1.4,0.2,setosa,0,0,-0.8433333333333337,0.7112111111111118
5.4,3.9,1.7,0.4,setosa,0.40000000000000036,0.16000000000000028,-0.44333333333333336,0.19654444444444447
4.6,3.4,1.4,0.3,setosa,-0.40000000000000036,0.16000000000000028,-1.243333333333334,1.5458777777777797
5,3.4,1.5,0.2,setosa,0,0,-0.8433333333333337,0.7112111111111118
4.4,2.9,1.4,0.2,setosa,-0.5999999999999996,0.3599999999999996,-1.4433333333333334,2.0832111111111113
4.9,3.1,1.5,0.1,setosa,-0.09999999999999964,0.009999999999999929,-0.9433333333333334,0.8898777777777778
5.4,3.7,1.5,0.2,setosa,0.40000000000000036,0.16000000000000028,-0.44333333333333336,0.19654444444444447
4.8,3.4,1.6,0.2,setosa,-0.20000000000000018,0.04000000000000007,-1.043333333333334,1.0885444444444456
4.8,3,1.4,0.1,setosa,-0.20000000000000018,0.04000000000000007,-1.043333333333334,1.0885444444444456
4.3,3,1.1,0.1,setosa,-0.7000000000000002,0.49000000000000027,-1.543333333333334,2.3818777777777793
5.8,4,1.2,0.2,setosa,0.7999999999999998,0.6399999999999997,-0.04333333333333389,0.001877777777777826
5.7,4.4,1.5,0.4,setosa,0.7000000000000002,0.49000000000000027,-0.14333333333333353,0.0205444444444445
5.4,3.9,1.3,0.4,setosa,0.40000000000000036,0.16000000000000028,-0.44333333333333336,0.19654444444444447
5.1,3.5,1.4,0.3,setosa,0.09999999999999964,0.009999999999999929,-0.7433333333333341,0.5525444444444455
5.7,3.8,1.7,0.3,setosa,0.7000000000000002,0.49000000000000027,-0.14333333333333353,0.0205444444444445
5.1,3.8,1.5,0.3,setosa,0.09999999999999964,0.009999999999999929,-0.7433333333333341,0.5525444444444455
5.4,3.4,1.7,0.2,setosa,0.40000000000000036,0.16000000000000028,-0.44333333333333336,0.19654444444444447
5.1,3.7,1.5,0.4,setosa,0.09999999999999964,0.009999999999999929,-0.7433333333333341,0.5525444444444455
4.6,3.6,1,0.2,setosa,-0.40000000000000036,0.16000000000000028,-1.243333333333334,1.5458777777777797
5.1,3.3,1.7,0.5,setosa,0.09999999999999964,0.009999999999999929,-0.7433333333333341,0.5525444444444455
4.8,3.4,1.9,0.2,setosa,-0.20000000000000018,0.04000000000000007,-1.043333333333334,1.0885444444444456
5,3,1.6,0.2,setosa,0,0,-0.8433333333333337,0.7112111111111118
5,3.4,1.6,0.4,setosa,0,0,-0.8433333333333337,0.7112111111111118
5.2,3.5,1.5,0.2,setosa,0.20000000000000018,0.04000000000000007,-0.6433333333333335,0.413877777777778
5.2,3.4,1.4,0.2,setosa,0.20000000000000018,0.04000000000000007,-0.6433333333333335,0.413877777777778
4.7,3.2,1.6,0.2,setosa,-0.2999999999999998,0.0899999999999999,-1.1433333333333335,1.3072111111111115
4.8,3.1,1.6,0.2,setosa,-0.20000000000000018,0.04000000000000007,-1.043333333333334,1.0885444444444456
5.4,3.4,1.5,0.4,setosa,0.40000000000000036,0.16000000000000028,-0.44333333333333336,0.19654444444444447
5.2,4.1,1.5,0.1,setosa,0.20000000000000018,0.04000000000000007,-0.6433333333333335,0.413877777777778
5.5,4.2,1.4,0.2,setosa,0.5,0.25,-0.3433333333333337,0.11787777777777804
4.9,3.1,1.5,0.2,setosa,-0.09999999999999964,0.009999999999999929,-0.9433333333333334,0.8898777777777778
5,3.2,1.2,0.2,setosa,0,0,-0.8433333333333337,0.7112111111111118
5.5,3.5,1.3,0.2,setosa,0.5,0.25,-0.3433333333333337,0.11787777777777804
4.9,3.6,1.4,0.1,setosa,-0.09999999999999964,0.009999999999999929,-0.9433333333333334,0.8898777777777778
4.4,3,1.3,0.2,setosa,-0.5999999999999996,0.3599999999999996,-1.4433333333333334,2.0832111111111113
5.1,3.4,1.5,0.2,setosa,0.09999999999999964,0.009999999999999929,-0.7433333333333341,0.5525444444444455
5,3.5,1.3,0.3,setosa,0,0,-0.8433333333333337,0.7112111111111118
4.5,2.3,1.3,0.3,setosa,-0.5,0.25,-1.3433333333333337,1.8045444444444454
4.4,3.2,1.3,0.2,setosa,-0.5999999999999996,0.3599999999999996,-1.4433333333333334,2.0832111111111113
5,3.5,1.6,0.6,setosa,0,0,-0.8433333333333337,0.7112111111111118
5.1,3.8,1.9,0.4,setosa,0.09999999999999964,0.009999999999999929,-0.7433333333333341,0.5525444444444455
4.8,3,1.4,0.3,setosa,-0.20000000000000018,0.04000000000000007,-1.043333333333334,1.0885444444444456
5.1,3.8,1.6,0.2,setosa,0.09999999999999964,0.009999999999999929,-0.7433333333333341,0.5525444444444455
4.6,3.2,1.4,0.2,setosa,-0.40000000000000036,0.16000000000000028,-1.243333333333334,1.5458777777777797
5.3,3.7,1.5,0.2,setosa,0.2999999999999998,0.0899999999999999,-0.5433333333333339,0.2952111111111117
5,3.3,1.4,0.2,setosa,0,0,-0.8433333333333337,0.7112111111111118
7,3.2,4.7,1.4,versicolor,2,4,1.1566666666666663,1.3378777777777768
6.4,3.2,4.5,1.5,versicolor,1.4000000000000004,1.960000000000001,0.5566666666666666,0.30987777777777775
6.9,3.1,4.9,1.5,versicolor,1.9000000000000004,3.610000000000001,1.0566666666666666,1.1165444444444443
5.5,2.3,4,1.3,versicolor,0.5,0.25,-0.3433333333333337,0.11787777777777804
6.5,2.8,4.6,1.5,versicolor,1.5,2.25,0.6566666666666663,0.4312111111111106
5.7,2.8,4.5,1.3,versicolor,0.7000000000000002,0.49000000000000027,-0.14333333333333353,0.0205444444444445
6.3,3.3,4.7,1.6,versicolor,1.2999999999999998,1.6899999999999995,0.4566666666666661,0.20854444444444395
4.9,2.4,3.3,1,versicolor,-0.09999999999999964,0.009999999999999929,-0.9433333333333334,0.8898777777777778
6.6,2.9,4.6,1.3,versicolor,1.5999999999999996,2.5599999999999987,0.7566666666666659,0.5725444444444433
5.2,2.7,3.9,1.4,versicolor,0.20000000000000018,0.04000000000000007,-0.6433333333333335,0.413877777777778
5,2,3.5,1,versicolor,0,0,-0.8433333333333337,0.7112111111111118
5.9,3,4.2,1.5,versicolor,0.9000000000000004,0.8100000000000006,0.05666666666666664,0.0032111111111111086
6,2.2,4,1,versicolor,1,1,0.1566666666666663,0.024544444444444327
6.1,2.9,4.7,1.4,versicolor,1.0999999999999996,1.2099999999999993,0.25666666666666593,0.0658777777777774
5.6,2.9,3.6,1.3,versicolor,0.5999999999999996,0.3599999999999996,-0.24333333333333407,0.05921111111111147
6.7,3.1,4.4,1.4,versicolor,1.7000000000000002,2.8900000000000006,0.8566666666666665,0.7338777777777774
5.6,3,4.5,1.5,versicolor,0.5999999999999996,0.3599999999999996,-0.24333333333333407,0.05921111111111147
5.8,2.7,4.1,1,versicolor,0.7999999999999998,0.6399999999999997,-0.04333333333333389,0.001877777777777826
6.2,2.2,4.5,1.5,versicolor,1.2000000000000002,1.4400000000000004,0.35666666666666647,0.12721111111111097
5.6,2.5,3.9,1.1,versicolor,0.5999999999999996,0.3599999999999996,-0.24333333333333407,0.05921111111111147
5.9,3.2,4.8,1.8,versicolor,0.9000000000000004,0.8100000000000006,0.05666666666666664,0.0032111111111111086
6.1,2.8,4,1.3,versicolor,1.0999999999999996,1.2099999999999993,0.25666666666666593,0.0658777777777774
6.3,2.5,4.9,1.5,versicolor,1.2999999999999998,1.6899999999999995,0.4566666666666661,0.20854444444444395
6.1,2.8,4.7,1.2,versicolor,1.0999999999999996,1.2099999999999993,0.25666666666666593,0.0658777777777774
6.4,2.9,4.3,1.3,versicolor,1.4000000000000004,1.960000000000001,0.5566666666666666,0.30987777777777775
6.6,3,4.4,1.4,versicolor,1.5999999999999996,2.5599999999999987,0.7566666666666659,0.5725444444444433
6.8,2.8,4.8,1.4,versicolor,1.7999999999999998,3.2399999999999993,0.9566666666666661,0.9152111111111101
6.7,3,5,1.7,versicolor,1.7000000000000002,2.8900000000000006,0.8566666666666665,0.7338777777777774
6,2.9,4.5,1.5,versicolor,1,1,0.1566666666666663,0.024544444444444327
5.7,2.6,3.5,1,versicolor,0.7000000000000002,0.49000000000000027,-0.14333333333333353,0.0205444444444445
5.5,2.4,3.8,1.1,versicolor,0.5,0.25,-0.3433333333333337,0.11787777777777804
5.5,2.4,3.7,1,versicolor,0.5,0.25,-0.3433333333333337,0.11787777777777804
5.8,2.7,3.9,1.2,versicolor,0.7999999999999998,0.6399999999999997,-0.04333333333333389,0.001877777777777826
6,2.7,5.1,1.6,versicolor,1,1,0.1566666666666663,0.024544444444444327
5.4,3,4.5,1.5,versicolor,0.40000000000000036,0.16000000000000028,-0.44333333333333336,0.19654444444444447
6,3.4,4.5,1.6,versicolor,1,1,0.1566666666666663,0.024544444444444327
6.7,3.1,4.7,1.5,versicolor,1.7000000000000002,2.8900000000000006,0.8566666666666665,0.7338777777777774
6.3,2.3,4.4,1.3,versicolor,1.2999999999999998,1.6899999999999995,0.4566666666666661,0.20854444444444395
5.6,3,4.1,1.3,versicolor,0.5999999999999996,0.3599999999999996,-0.24333333333333407,0.05921111111111147
5.5,2.5,4,1.3,versicolor,0.5,0.25,-0.3433333333333337,0.11787777777777804
5.5,2.6,4.4,1.2,versicolor,0.5,0.25,-0.3433333333333337,0.11787777777777804
6.1,3,4.6,1.4,versicolor,1.0999999999999996,1.2099999999999993,0.25666666666666593,0.0658777777777774
5.8,2.6,4,1.2,versicolor,0.7999999999999998,0.6399999999999997,-0.04333333333333389,0.001877777777777826
5,2.3,3.3,1,versicolor,0,0,-0.8433333333333337,0.7112111111111118
5.6,2.7,4.2,1.3,versicolor,0.5999999999999996,0.3599999999999996,-0.24333333333333407,0.05921111111111147
5.7,3,4.2,1.2,versicolor,0.7000000000000002,0.49000000000000027,-0.14333333333333353,0.0205444444444445
5.7,2.9,4.2,1.3,versicolor,0.7000000000000002,0.49000000000000027,-0.14333333333333353,0.0205444444444445
6.2,2.9,4.3,1.3,versicolor,1.2000000000000002,1.4400000000000004,0.35666666666666647,0.12721111111111097
5.1,2.5,3,1.1,versicolor,0.09999999999999964,0.009999999999999929,-0.7433333333333341,0.5525444444444455
5.7,2.8,4.1,1.3,versicolor,0.7000000000000002,0.49000000000000027,-0.14333333333333353,0.0205444444444445
6.3,3.3,6,2.5,virginica,1.2999999999999998,1.6899999999999995,0.4566666666666661,0.20854444444444395
5.8,2.7,5.1,1.9,virginica,0.7999999999999998,0.6399999999999997,-0.04333333333333389,0.001877777777777826
7.1,3,5.9,2.1,virginica,2.0999999999999996,4.409999999999998,1.256666666666666,1.5792111111111093
6.3,2.9,5.6,1.8,virginica,1.2999999999999998,1.6899999999999995,0.4566666666666661,0.20854444444444395
6.5,3,5.8,2.2,virginica,1.5,2.25,0.6566666666666663,0.4312111111111106
7.6,3,6.6,2.1,virginica,2.5999999999999996,6.759999999999998,1.756666666666666,3.085877777777775
4.9,2.5,4.5,1.7,virginica,-0.09999999999999964,0.009999999999999929,-0.9433333333333334,0.8898777777777778
7.3,2.9,6.3,1.8,virginica,2.3,5.289999999999999,1.456666666666666,2.121877777777776
6.7,2.5,5.8,1.8,virginica,1.7000000000000002,2.8900000000000006,0.8566666666666665,0.7338777777777774
7.2,3.6,6.1,2.5,virginica,2.2,4.840000000000001,1.3566666666666665,1.8405444444444439
6.5,3.2,5.1,2,virginica,1.5,2.25,0.6566666666666663,0.4312111111111106
6.4,2.7,5.3,1.9,virginica,1.4000000000000004,1.960000000000001,0.5566666666666666,0.30987777777777775
6.8,3,5.5,2.1,virginica,1.7999999999999998,3.2399999999999993,0.9566666666666661,0.9152111111111101
5.7,2.5,5,2,virginica,0.7000000000000002,0.49000000000000027,-0.14333333333333353,0.0205444444444445
5.8,2.8,5.1,2.4,virginica,0.7999999999999998,0.6399999999999997,-0.04333333333333389,0.001877777777777826
6.4,3.2,5.3,2.3,virginica,1.4000000000000004,1.960000000000001,0.5566666666666666,0.30987777777777775
6.5,3,5.5,1.8,virginica,1.5,2.25,0.6566666666666663,0.4312111111111106
7.7,3.8,6.7,2.2,virginica,2.7,7.290000000000001,1.8566666666666665,3.4472111111111103
7.7,2.6,6.9,2.3,virginica,2.7,7.290000000000001,1.8566666666666665,3.4472111111111103
6,2.2,5,1.5,virginica,1,1,0.1566666666666663,0.024544444444444327
6.9,3.2,5.7,2.3,virginica,1.9000000000000004,3.610000000000001,1.0566666666666666,1.1165444444444443
5.6,2.8,4.9,2,virginica,0.5999999999999996,0.3599999999999996,-0.24333333333333407,0.05921111111111147
7.7,2.8,6.7,2,virginica,2.7,7.290000000000001,1.8566666666666665,3.4472111111111103
6.3,2.7,4.9,1.8,virginica,1.2999999999999998,1.6899999999999995,0.4566666666666661,0.20854444444444395
6.7,3.3,5.7,2.1,virginica,1.7000000000000002,2.8900000000000006,0.8566666666666665,0.7338777777777774
7.2,3.2,6,1.8,virginica,2.2,4.840000000000001,1.3566666666666665,1.8405444444444439
6.2,2.8,4.8,1.8,virginica,1.2000000000000002,1.4400000000000004,0.35666666666666647,0.12721111111111097
6.1,3,4.9,1.8,virginica,1.0999999999999996,1.2099999999999993,0.25666666666666593,0.0658777777777774
6.4,2.8,5.6,2.1,virginica,1.4000000000000004,1.960000000000001,0.5566666666666666,0.30987777777777775
7.2,3,5.8,1.6,virginica,2.2,4.840000000000001,1.3566666666666665,1.8405444444444439
7.4,2.8,6.1,1.9,virginica,2.4000000000000004,5.760000000000002,1.5566666666666666,2.423211111111111
7.9,3.8,6.4,2,virginica,2.9000000000000004,8.410000000000002,2.0566666666666666,4.229877777777777
6.4,2.8,5.6,2.2,virginica,1.4000000000000004,1.960000000000001,0.5566666666666666,0.30987777777777775
6.3,2.8,5.1,1.5,virginica,1.2999999999999998,1.6899999999999995,0.4566666666666661,0.20854444444444395
6.1,2.6,5.6,1.4,virginica,1.0999999999999996,1.2099999999999993,0.25666666666666593,0.0658777777777774
7.7,3,6.1,2.3,virginica,2.7,7.290000000000001,1.8566666666666665,3.4472111111111103
6.3,3.4,5.6,2.4,virginica,1.2999999999999998,1.6899999999999995,0.4566666666666661,0.20854444444444395
6.4,3.1,5.5,1.8,virginica,1.4000000000000004,1.960000000000001,0.5566666666666666,0.30987777777777775
6,3,4.8,1.8,virginica,1,1,0.1566666666666663,0.024544444444444327
6.9,3.1,5.4,2.1,virginica,1.9000000000000004,3.610000000000001,1.0566666666666666,1.1165444444444443
6.7,3.1,5.6,2.4,virginica,1.7000000000000002,2.8900000000000006,0.8566666666666665,0.7338777777777774
6.9,3.1,5.1,2.3,virginica,1.9000000000000004,3.610000000000001,1.0566666666666666,1.1165444444444443
5.8,2.7,5.1,1.9,virginica,0.7999999999999998,0.6399999999999997,-0.04333333333333389,0.001877777777777826
6.8,3.2,5.9,2.3,virginica,1.7999999999999998,3.2399999999999993,0.9566666666666661,0.9152111111111101
6.7,3.3,5.7,2.5,virginica,1.7000000000000002,2.8900000000000006,0.8566666666666665,0.7338777777777774
6.7,3,5.2,2.3,virginica,1.7000000000000002,2.8900000000000006,0.8566666666666665,0.7338777777777774
6.3,2.5,5,1.9,virginica,1.2999999999999998,1.6899999999999995,0.4566666666666661,0.20854444444444395
6.5,3,5.2,2,virginica,1.5,2.25,0.6566666666666663,0.4312111111111106
6.2,3.4,5.4,2.3,virginica,1.2000000000000002,1.4400000000000004,0.35666666666666647,0.12721111111111097
5.9,3,5.1,1.8,virginica,0.9000000000000004,0.8100000000000006,0.05666666666666664,0.0032111111111111086
